iter	Passed	Remaining
0	127	127238
1	136	68012
2	146	48838
3	155	38739
4	183	36427
5	194	32213
6	203	28853
7	214	26619
8	225	24880
9	237	23463
10	267	24079
11	280	23070
12	300	22812
13	328	23127
14	345	22657
15	359	22093
16	372	21536
17	387	21117
18	402	20800
19	415	20360
20	430	20061
21	445	19800
22	456	19401
23	469	19082
24	476	18580
25	489	18355
26	500	18031
27	514	17856
28	529	17716
29	539	17442
30	553	17288
31	563	17032
32	576	16907
33	585	16645
34	597	16476
35	607	16255
36	620	16142
37	633	16039
38	645	15917
39	662	15890
40	674	15780
41	685	15644
42	698	15556
43	708	15389
44	719	15260
45	729	15129
46	743	15068
47	755	14988
48	768	14915
49	780	14832
50	790	14716
51	801	14619
52	816	14584
53	845	14811
54	877	15077
55	886	14936
56	899	14885
57	923	15003
58	942	15024
59	967	15149
60	982	15119
61	1004	15199
62	1019	15165
63	1037	15172
64	1057	15205
65	1075	15213
66	1083	15093
67	1092	14967
68	1111	14994
69	1125	14954
70	1140	14920
71	1155	14897
72	1171	14877
73	1184	14825
74	1195	14740
75	1209	14700
76	1219	14617
77	1230	14550
78	1241	14472
79	1252	14402
80	1262	14321
81	1273	14259
82	1282	14174
83	1295	14125
84	1304	14044
85	1315	13978
86	1325	13909
87	1337	13860
88	1347	13790
89	1356	13715
90	1365	13643
91	1378	13600
92	1388	13542
93	1399	13489
94	1412	13459
95	1421	13390
96	1430	13314
97	1437	13233
98	1451	13209
99	1462	13158
100	1503	13381
101	1520	13383
102	1537	13393
103	1553	13383
104	1577	13444
105	1589	13405
106	1607	13415
107	1616	13354
108	1626	13296
109	1657	13408
110	1669	13371
111	1679	13318
112	1692	13282
113	1707	13269
114	1718	13224
115	1727	13167
116	1738	13120
117	1753	13110
118	1762	13048
119	1778	13038
120	1801	13090
121	1811	13034
122	1823	13003
123	1837	12984
124	1859	13018
125	1870	12973
126	1884	12955
127	1896	12922
128	1912	12914
129	1923	12873
130	1935	12838
131	1946	12802
132	1963	12797
133	1973	12752
134	1984	12715
135	2005	12742
136	2017	12708
137	2027	12667
138	2037	12618
139	2048	12585
140	2057	12536
141	2066	12485
142	2081	12471
143	2092	12436
144	2103	12402
145	2113	12362
146	2125	12332
147	2141	12330
148	2160	12338
149	2179	12347
150	2216	12462
151	2228	12435
152	2250	12461
153	2265	12445
154	2280	12431
155	2297	12429
156	2322	12471
157	2350	12528
158	2387	12626
159	2403	12619
160	2417	12597
161	2432	12583
162	2446	12563
163	2489	12687
164	2504	12671
165	2518	12652
166	2538	12664
167	2552	12640
168	2566	12617
169	2582	12607
170	2594	12579
171	2607	12550
172	2621	12530
173	2639	12531
174	2660	12544
175	2687	12583
176	2749	12786
177	2769	12789
178	2779	12746
179	2789	12709
180	2802	12679
181	2816	12660
182	2827	12625
183	2839	12592
184	2854	12577
185	2868	12551
186	2882	12533
187	2890	12486
188	2899	12442
189	2911	12410
